Game,Region,Emulator,Playability,Resolution,Renderer,Notes,Media Links,Tested by,Date Tested:
WWE Here Comes the Pain,PS2,AetherSX2,Perfect,1x,,"Runs full speed with 0 Adjustments made to settings, even the Royal Rumble runs well! ",,Ric Flair,12-15-22
WWE Smackdown vs Raw 2008,ALL,AetherSX2,Somewhat,1x,Vulkan,"It goes well in the menus, but too slow in matches. ",,jeeanvictor,03-21-23
WWE Smackdown! Here Comes the Pain,PAL,AetherSX2,Great,1x,Vulkan,Plays great using the optimal default settings. May have minor graphical glitches during entrances.,https://www.youtube.com/watch?v=haFe-jL6hgk,The Gaming Geek Net,05-08-23
WWE Smackdown! Shut Your Mouth,NTSC-U,AetherSX2,Bad,1x,Vulkan,Lots of Slowdown,,Jetup13,11-29-22
WWE Smackdown! Shut Your Mouth,PAL,AetherSX2,Great,1x,Vulkan,"EE cycle rate 1 (130%), EE Cycle Skip -1. Runs great, with occasional dips during some of the more complicated entrances",https://www.youtube.com/watch?v=NemNym9llDI,The Gaming Geek Net,04-07-23
WWE: Smackdown vs Raw 2011,ALL,AetherSX2,Perfect,1.5x,Vulkan,"EE cycle rate -1, EE loop skip 2. Runs perfect!",https://www.youtube.com/watch?v=8wON3y5qpfA,Retroid Youtube,12-04-22
WWE: Smackdown! vs Raw 2006,PAL,AetherSX2,Playable,1x,Vulkan,"Extreme performance mode. EE Cycle Rate (-1) and EE Cycle Skip (1). Minor dips during entrances, plays at 100% speed with 4 wrestlers and below. At 5 wrestlers and up, game speed can go down to 80%.",https://www.youtube.com/watch?v=jTlq0XXFj5k,The Gaming Geek Net,05-25-23
X-Men: The Official Game,PAL,AetherSX2,Playable,1x,Vulkan,"EE Cycle Rate 75%, EE Cycle Skip 1. Audio timing glitches in cutscenes.",https://www.youtube.com/watch?v=jjo50ZcnvuE,The Gaming Geek Net,07-29-23
Xenosaga Episode 1,NTSC-U,AetherSX2,Playable,1x,Vulkan,"Turn on fast settings. EE Cycle Rate 0, EE Cycle Skip -2. 

Prologue ran great, battles run great, overworld ran pretty much at full speed. All of this runs well at 1.25x but the cutscenes do have some genuinely annoying slowdown here and there (there are quite a lot of cutscenes) but its not super constant and the problem is more-so the lipsyncing being really off. However the cutscenes are skippable and they are still decently enjoyable but may be distracting to some.",,FruitLoops,12-16-22
XGIII ( Extreme G 3),NTSC-U,AetherSX2,Perfect,2x,Vulkan,Plays excellent! No Underclocking needed. Very minor slowdowns during corkscrews and climbs. You can try minor underclock or lower the upscale to see if it solves the very minor issue.,,Galvy,12-16-22
XIII,NTSC-U,AetherSX2,Perfect,1x,Vulkan,Great performance on Optimal Settings.,,LemonyFlavor,01-28-23
Yakuza,ALL,AetherSX2,Great,2x,Vulkan,"NTSC Version runs at full speed using Mjolnir Stone's settings. However, there are
minor dips when theres a ghosting effect on screen, (Defeating the final enemy/
cutscene). Mjolnir's Video: https://www.youtube.com/watch?v=BSinxfHeEWg",,Anonymous,03-21-23
Yu-Gi-Oh! Duelists of the Roses,NTSC-U,AetherSX2,Perfect,1.5x,Vulkan,Plays perfect!,,Yoona,12-16-22
Zone of the Enders,NTSC-U,AetherSX2,Playable,1.5x,Vulkan,"Plays great. System Settings> EE Cycle Rate 130% (1), EE Cycle Skip (2), Multi Threaded VU1, Instant VU1, Enable Frame Limit, Normal Speed 110%
Graphics> Vulkan, Upscale 1.5x, Bilinear Filtering (PS2), Texture Preloading Full (hash Cache), Hardware Download Mode Accurate, Apesct ratio 16:9 and Enbale Widescreen patches, Threaded Presentation, Async Texture loading
Audio> Sync Mode to Async Mix
Advanced Auto Flush Software",,Anonymous/Galvy,12-31-22
